dam,province,date,storage_mean_mcm,storage_p10_mcm,storage_p90_mcm,storage_pct_capacity,usable_mcm,usable_pct,inflow_mean_mcm,inflow_p10_mcm,inflow_p90_mcm,release_mean_mcm,evap_mean_mcm,prob_above_100pct,prob_above_80pct,capacity_mcm
Bhumibol,Tak,2026-09-24,7764.35,7758.59,7773.0,57.68,3964.35,41.03,25.65,19.89,34.23,2.26,0.68,0.0,0.0,13462
Bhumibol,Tak,2026-09-25,7786.79,7773.51,7806.87,57.84,3986.79,41.26,25.46,16.8,37.34,2.34,0.68,0.0,0.0,13462
Bhumibol,Tak,2026-09-26,7810.11,7786.44,7843.45,58.02,4010.11,41.5,26.39,15.04,41.82,2.38,0.68,0.0,0.0,13462
Bhumibol,Tak,2026-09-27,7834.12,7798.55,7881.88,58.19,4034.12,41.75,27.12,13.47,44.03,2.42,0.68,0.0,0.0,13462
Bhumibol,Tak,2026-09-28,7858.69,7809.56,7922.28,58.38,4058.69,42.01,27.71,13.0,46.87,2.46,0.69,0.0,0.0,13462
Bhumibol,Tak,2026-09-29,7884.13,7821.27,7964.88,58.57,4084.13,42.27,28.62,12.64,49.44,2.49,0.69,0.0,0.0,13462
Bhumibol,Tak,2026-09-30,7910.06,7832.64,8008.08,58.76,4110.06,42.54,29.14,12.58,51.1,2.52,0.69,0.0,0.0,13462
Sirikit,Uttaradit,2026-09-24,5825.74,5819.77,5833.33,61.26,2975.74,44.68,25.34,19.47,33.07,2.41,0.59,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-25,5848.54,5834.95,5867.4,61.5,2998.54,45.02,25.98,17.34,38.02,2.59,0.59,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-26,5872.03,5847.83,5905.82,61.75,3022.03,45.38,26.79,15.12,42.76,2.71,0.59,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-27,5896.57,5860.14,5946.76,62.0,3046.57,45.74,27.97,13.86,46.97,2.84,0.6,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-28,5921.69,5870.45,5992.07,62.27,3071.69,46.12,28.65,12.73,49.18,2.94,0.6,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-29,5947.43,5880.37,6034.46,62.54,3097.43,46.51,29.37,12.95,50.67,3.03,0.6,0.0,0.0,9510
Sirikit,Uttaradit,2026-09-30,5973.52,5891.59,6077.39,62.81,3123.52,46.9,29.79,12.87,51.81,3.1,0.6,0.0,0.0,9510
Ubol Ratana,Khon Kaen,2026-09-24,1506.94,1504.4,1509.72,61.99,925.94,50.05,11.25,8.81,14.03,2.71,0.97,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-25,1515.03,1509.28,1521.37,62.32,934.03,50.49,11.9,8.33,15.95,2.83,0.98,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-26,1523.78,1513.29,1535.37,62.68,942.78,50.96,12.66,7.6,18.16,2.93,0.98,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-27,1532.73,1516.62,1549.66,63.05,951.73,51.45,12.95,6.86,19.34,3.01,0.99,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-28,1542.0,1520.33,1564.79,63.43,961.0,51.95,13.36,7.04,20.58,3.1,0.99,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-29,1551.5,1523.88,1581.33,63.82,970.5,52.46,13.69,6.53,21.83,3.2,1.0,0.0,0.0,2431
Ubol Ratana,Khon Kaen,2026-09-30,1561.13,1526.5,1598.64,64.22,980.13,52.98,13.92,6.33,22.9,3.29,1.0,0.0,0.0,2431
Srinagarind,Kanchanaburi,2026-09-24,10334.87,10326.88,10344.94,58.24,2864.87,27.88,34.8,26.85,44.91,2.03,0.95,0.0,0.0,17745
Srinagarind,Kanchanaburi,2026-09-25,10364.8,10347.86,10389.47,58.41,2894.8,28.17,33.05,21.84,48.81,2.17,0.96,0.0,0.0,17745
Srinagarind,Kanchanaburi,2026-09-26,10395.58,10364.74,10437.11,58.58,2925.58,28.47,34.04,18.55,53.64,2.3,0.96,0.0,0.0,17745
Srinagarind,Kanchanaburi,2026-09-27,10426.75,10379.68,10489.15,58.76,2956.75,28.78,34.56,16.33,57.41,2.42,0.96,0.0,0.0,17745
