station,region,date,rain_mean_mm,rain_p10_mm,rain_p50_mm,rain_p90_mm,rain_prob_pct,heavy_rain_prob_pct,tmax_mean_c,tmax_p10_c,tmax_p90_c,tmin_mean_c,tmin_p10_c,tmin_p90_c,tmax_clim_c,tmin_clim_c
Chiang Mai,North,2026-09-24,3.97,0.0,0.0,12.56,33.0,2.5,32.61,30.93,34.23,20.87,19.87,21.82,31.47,23.34
Chiang Mai,North,2026-09-25,4.92,0.0,0.0,15.62,44.7,2.2,32.4,30.24,34.52,21.32,20.09,22.51,31.47,23.3
Chiang Mai,North,2026-09-26,5.29,0.0,0.0,16.06,49.3,1.4,32.13,29.84,34.41,21.68,20.28,23.02,31.47,23.26
Chiang Mai,North,2026-09-27,5.96,0.0,0.0,19.34,49.2,2.3,31.98,29.73,34.32,21.95,20.6,23.33,31.47,23.22
Chiang Mai,North,2026-09-28,5.97,0.0,1.0,18.26,50.1,3.3,31.77,29.35,34.1,22.18,20.75,23.65,31.47,23.18
Chiang Mai,North,2026-09-29,5.88,0.0,1.03,17.9,51.1,1.9,31.69,29.24,34.08,22.34,20.89,23.79,31.46,23.13
Chiang Mai,North,2026-09-30,5.53,0.0,1.11,17.34,51.3,1.8,31.61,29.05,34.0,22.46,21.0,23.93,31.46,23.09
Khon Kaen,Northeast,2026-09-24,12.05,0.0,6.14,34.11,74.0,9.7,30.15,28.53,31.86,23.49,22.63,24.35,31.67,24.29
Khon Kaen,Northeast,2026-09-25,9.78,0.0,3.03,28.14,63.7,6.7,30.54,28.56,32.69,23.71,22.6,24.8,31.67,24.25
Khon Kaen,Northeast,2026-09-26,9.36,0.0,2.38,29.19,59.0,7.1,30.84,28.64,33.13,23.79,22.56,24.99,31.67,24.21
Khon Kaen,Northeast,2026-09-27,8.46,0.0,1.9,25.96,56.8,6.5,31.04,28.69,33.41,23.83,22.46,25.13,31.67,24.17
Khon Kaen,Northeast,2026-09-28,8.76,0.0,1.74,27.21,54.1,6.4,31.27,28.93,33.69,23.86,22.49,25.18,31.67,24.12
Khon Kaen,Northeast,2026-09-29,8.63,0.0,1.17,28.15,52.5,7.0,31.38,28.92,33.89,23.89,22.5,25.23,31.67,24.07
Khon Kaen,Northeast,2026-09-30,8.12,0.0,1.11,24.82,51.2,5.6,31.49,29.13,33.89,23.91,22.56,25.21,31.67,24.02
Bangkok,Central,2026-09-24,13.88,0.0,7.81,35.63,82.4,10.7,31.17,29.47,32.91,25.68,24.73,26.59,32.08,25.66
Bangkok,Central,2026-09-25,12.08,0.0,5.39,32.68,73.7,8.9,31.43,29.45,33.48,25.69,24.57,26.75,32.07,25.65
Bangkok,Central,2026-09-26,12.49,0.0,5.9,33.11,73.7,9.1,31.56,29.45,33.8,25.69,24.44,26.94,32.07,25.64
Bangkok,Central,2026-09-27,12.73,0.0,6.28,34.1,74.9,9.8,31.65,29.6,33.86,25.65,24.31,26.96,32.06,25.63
Bangkok,Central,2026-09-28,12.36,0.0,6.0,35.44,71.1,10.2,31.76,29.64,33.97,25.63,24.25,26.97,32.05,25.61
Bangkok,Central,2026-09-29,11.72,0.0,5.11,34.22,69.4,9.6,31.91,29.74,34.17,25.62,24.22,27.02,32.04,25.6
Bangkok,Central,2026-09-30,11.85,0.0,5.21,32.13,69.2,7.7,31.92,29.66,34.28,25.58,24.15,27.01,32.04,25.58
Kanchanaburi,West,2026-09-24,5.09,0.0,0.0,17.33,34.1,3.9,32.76,30.86,34.49,24.9,24.01,25.81,32.72,24.8
Kanchanaburi,West,2026-09-25,7.03,0.0,0.0,24.11,47.3,5.1,32.83,30.6,35.02,24.84,23.74,25.92,32.71,24.78
Kanchanaburi,West,2026-09-26,7.84,0.0,1.12,25.0,51.5,5.1,32.86,30.47,35.08,24.79,23.57,26.01,32.7,24.75
Kanchanaburi,West,2026-09-27,8.16,0.0,0.0,25.93,49.9,5.4,32.82,30.48,35.27,24.79,23.48,26.11,32.69,24.73
Kanchanaburi,West,2026-09-28,8.14,0.0,1.23,25.07,52.3,5.8,32.78,30.26,35.25,24.74,23.37,26.15,32.68,24.7
Kanchanaburi,West,2026-09-29,7.5,0.0,1.15,23.56,51.3,4.8,32.72,30.33,35.09,24.69,23.29,26.11,32.67,24.68
Kanchanaburi,West,2026-09-30,8.24,0.0,0.0,26.1,49.8,6.1,32.67,30.17,35.11,24.62,23.14,26.03,32.66,24.65
